query_id,peak_mem_usage,total_allocated_bytes_delta
1,14279903168,24975665552
2,804098680,1114271146
3,5638021600,11829838460
4,7318101288,11750982056
5,6139415308,16083043104
6,605693008,1320628080
7,3568457272,11135969600
8,6830084332,9592032951
9,5121983712,26417320344
10,3839117084,9124385008
11,801111936,1285878476
12,1858333900,6845090004
13,4989623808,16703466210
14,405102536,2176131663
16,907249168,4026449962
17,6001907604,6858916772
18,12042229584,23208836740
19,628144898,2078124412
20,1154199360,3807060626
21,7349868508,24944979462
22,1497776406,3952082146
