query_id,peak_mem_usage,total_allocated_bytes_delta
1,28560807360,49947960524
2,1607843848,2202611826
3,11459851752,23632336612
4,14642589168,23508416736
5,9282271980,32883929960
6,1211349464,2641453888
7,7528775520,20061431340
8,12096468968,19249907832
9,11983657616,54541020576
10,7244351968,19315354388
11,1601865792,2635734448
12,3728037092,13728256060
13,9979375112,33404494866
14,797735988,4367821526
16,1977695504,8126833204
17,12004009872,13714042252
18,24084458160,46467612760
19,1256257074,4186723976
20,2401685380,7430427559
21,14617358932,50726674513
22,3864608104,9465154408
