query_id,peak_mem_usage,total_allocated_bytes_delta
1,4749553752,9031049632
2,321833872,455441672
3,2608817192,5586680432
4,2906750260,4712976844
5,2462795920,6455768828
6,268840104,638704192
7,1269877636,4413504036
8,2668252360,3693986068
9,1886281776,9957735764
10,1063794344,3495842744
11,320585296,585097632
12,706222156,2922326348
13,1869766496,6557123386
14,137766556,838057617
16,300601680,1607936664
17,2400763976,2743714408
18,4816853224,9280560108
19,277878010,1014702600
20,480341296,1693682227
21,2933453528,9806058814
22,492559283,1368160703
