query_id,peak_mem_usage,total_allocated_bytes_delta
1,237761920,457100100
2,16338424,35920512
3,116587960,246302120
4,122292420,173924480
5,123797228,321121888
6,13451320,31937408
7,64650412,222295388
8,128626080,187617766
9,120788468,495220628
10,46181784,158026336
11,16369824,29386268
12,31278360,135018180
13,91906416,319524706
14,9860092,42415389
16,19629304,84624498
17,120318556,138542900
18,240844176,468072016
19,13938866,51705320
20,30782876,91121494
21,126413028,425824796
22,21194148,61940912
