query_id,dam_size_gb,table_size_gb,migration_size_gb,migration_duration_ns
1,25.0,2.5,2.2415231689810753,66754559.6
1,25.0,5.0,4.780462743714452,140481054.8
1,25.0,7.5,6.128859734162688,178302289.4
1,25.0,10.0,8.106446417048573,235851565.4
1,25.0,12.5,8.106446417048573,235827672.4
1,25.0,15.0,8.106446417048573,235858480.4
1,25.0,17.5,8.106446417048573,235782799.8
1,25.0,20.0,8.106446417048573,235891971.6
1,25.0,22.5,8.106446417048573,235914555.4
2,25.0,2.5,1.2199929719790816,115535751.6
2,25.0,5.0,1.2199929719790816,125149670.4
2,25.0,7.5,1.2199929719790816,117100085.8
2,25.0,10.0,1.2199929719790816,134585190.2
2,25.0,12.5,1.2199929719790816,117496666.4
2,25.0,15.0,1.2199929719790816,142197783.8
2,25.0,17.5,1.2199929719790816,129551159.6
2,25.0,20.0,1.2199929719790816,124256339.4
2,25.0,22.5,1.2199929719790816,124408938.2
3,25.0,2.5,2.3719990849494934,69370631.0
3,25.0,5.0,4.990130931138992,145359100.0
3,25.0,7.5,6.305169539526105,183414792.8
3,25.0,10.0,9.631153212860227,278724407.2
3,25.0,12.5,9.631153212860227,278789700.6
3,25.0,15.0,9.631153212860227,278790376.4
3,25.0,17.5,9.631153212860227,278713620.2
3,25.0,20.0,9.631153212860227,278779485.4
3,25.0,22.5,9.631153212860227,278775690.0
4,25.0,2.5,2.3025267459452152,67490719.2
4,25.0,5.0,4.842696279287338,141060627.6
4,25.0,7.5,6.801306594163179,198354918.8
4,25.0,10.0,6.801306594163179,198079769.0
4,25.0,12.5,6.801306594163179,198100275.8
4,25.0,15.0,6.801306594163179,198063164.6
4,25.0,17.5,6.801306594163179,198052770.6
4,25.0,20.0,6.801306594163179,198004817.8
4,25.0,22.5,6.801306594163179,198210729.4
5,25.0,2.5,2.236723612062633,65519458.8
5,25.0,5.0,4.9780519073829055,144083227.4
5,25.0,7.5,7.474388097412884,216092902.0
5,25.0,10.0,7.474388097412884,216096554.4
5,25.0,12.5,10.800371770747006,311374208.6
5,25.0,15.0,10.800371770747006,311471950.0
5,25.0,17.5,10.800371770747006,311454275.4
5,25.0,20.0,10.800371770747006,311548778.4
5,25.0,22.5,10.800371770747006,311509338.8
6,25.0,2.5,1.9775866828858852,58417701.0
6,25.0,5.0,3.098962225019932,91198138.4
6,25.0,7.5,6.4249458983540535,186633231.4
6,25.0,10.0,6.4249458983540535,186453210.8
6,25.0,12.5,6.4249458983540535,186582276.2
6,25.0,15.0,6.4249458983540535,186419050.0
6,25.0,17.5,6.4249458983540535,186455917.8
6,25.0,20.0,6.4249458983540535,186414652.8
6,25.0,22.5,6.4249458983540535,186495668.8
7,25.0,2.5,2.05218053329736,60567973.4
7,25.0,5.0,4.5658511677756906,132786029.4
7,25.0,7.5,7.289845018647611,211016363.6
7,25.0,10.0,8.967140327207744,259629423.8
7,25.0,12.5,12.293124000541866,354903443.8
7,25.0,15.0,12.293124000541866,354807286.4
7,25.0,17.5,12.293124000541866,354922881.6
7,25.0,20.0,12.293124000541866,354977938.4
7,25.0,22.5,12.293124000541866,354983333.8
8,25.0,2.5,2.0508438562974334,60053593.4
8,25.0,5.0,4.841819430701435,140040241.4
8,25.0,7.5,7.078300534747541,204428136.0
8,25.0,10.0,7.638323185034096,220735777.8
8,25.0,12.5,10.920403898693621,314765917.6
8,25.0,15.0,14.246387572027743,410348939.4
8,25.0,17.5,14.246387572027743,410179145.4
8,25.0,20.0,14.246387572027743,410411082.6
8,25.0,22.5,14.246387572027743,410223688.8
9,25.0,2.5,2.1617110269144177,63214650.2
9,25.0,5.0,4.952480331994593,143140947.8
9,25.0,7.5,6.633247938938439,191871890.2
9,25.0,10.0,9.915328652597964,286084186.4
9,25.0,12.5,11.592623961158097,334534635.0
9,25.0,15.0,14.918607634492218,429923606.6
9,25.0,17.5,16.32957906089723,5372103708.8
9,25.0,20.0,16.32957906089723,5206433135.0
9,25.0,22.5,16.32957906089723,4816462893.2
10,25.0,2.5,2.3081693965941668,68334274.2
10,25.0,5.0,4.748586989939213,138193264.4
10,25.0,7.5,7.238195337355137,209872234.0
10,25.0,10.0,8.074570663273335,233513856.8
10,25.0,12.5,8.074570663273335,233515031.2
10,25.0,15.0,8.074570663273335,233535798.2
10,25.0,17.5,8.074570663273335,233396815.8
10,25.0,20.0,8.074570663273335,233421479.4
10,25.0,22.5,8.074570663273335,233675383.2
11,25.0,2.5,1.2376702623441815,37013514.2
11,25.0,5.0,1.2376702623441815,36503760.4
11,25.0,7.5,1.2376702623441815,36975448.4
11,25.0,10.0,1.2376702623441815,36497114.4
11,25.0,12.5,1.2376702623441815,36548362.6
11,25.0,15.0,1.2376702623441815,36544307.4
11,25.0,17.5,1.2376702623441815,36507207.0
11,25.0,20.0,1.2376702623441815,36528792.4
11,25.0,22.5,1.2376702623441815,36556489.8
12,25.0,2.5,2.121381353586912,62858148.4
12,25.0,5.0,4.920170394703746,143488430.2
12,25.0,7.5,7.179072083905339,209562434.4
12,25.0,10.0,8.856367392465472,257939864.8
12,25.0,12.5,8.856367392465472,257885529.6
12,25.0,15.0,8.856367392465472,257906628.6
12,25.0,17.5,8.856367392465472,257883173.2
12,25.0,20.0,8.856367392465472,257942850.6
12,25.0,22.5,8.856367392465472,257855202.8
13,25.0,2.5,1.4514797180891037,42495359.0
13,25.0,5.0,1.4514797180891037,42614394.8
13,25.0,7.5,1.4514797180891037,42551716.8
13,25.0,10.0,1.4514797180891037,42564301.6
13,25.0,12.5,1.4514797180891037,42561889.6
13,25.0,15.0,14.227794195525348,40597645511.4
13,25.0,17.5,14.227794195525348,36505326293.2
13,25.0,20.0,14.227794195525348,34157185367.2
13,25.0,22.5,14.227794195525348,38649158934.0
14,25.0,2.5,2.0734411142766476,64978307.4
14,25.0,5.0,2.633463764563203,81581841.4
14,25.0,7.5,5.9836251344531775,173794269.0
14,25.0,10.0,9.3096088077873,268971200.0
14,25.0,12.5,9.3096088077873,269040327.0
14,25.0,15.0,9.3096088077873,268987160.2
14,25.0,17.5,9.3096088077873,269071025.0
14,25.0,20.0,9.3096088077873,269270325.8
14,25.0,22.5,9.3096088077873,269059837.4
16,25.0,2.5,0.9062572149559855,112732385.2
16,25.0,5.0,0.9062572149559855,150067849.2
16,25.0,7.5,0.9062572149559855,107254492.0
16,25.0,10.0,0.9062572149559855,117647695.4
16,25.0,12.5,0.9062572149559855,134947976.8
16,25.0,15.0,0.9062572149559855,128476492.8
16,25.0,17.5,0.9062572149559855,128335351.8
16,25.0,20.0,0.9062572149559855,124239938.8
16,25.0,22.5,0.9062572149559855,117272025.2
17,25.0,2.5,0.673977954313159,20672243.0
17,25.0,5.0,4.024139324203134,116916745.8
17,25.0,7.5,7.350122997537255,212146709.2
17,25.0,10.0,7.350122997537255,212068107.6
17,25.0,12.5,7.350122997537255,212068209.8
17,25.0,15.0,7.350122997537255,212139782.8
17,25.0,17.5,7.350122997537255,212248874.2
17,25.0,20.0,7.350122997537255,211891764.6
17,25.0,22.5,7.350122997537255,212185359.0
18,25.0,2.5,2.294566797092557,67254580.6
18,25.0,5.0,4.174961740151048,121403402.0
18,25.0,7.5,5.01252250559628,145463797.0
18,25.0,10.0,5.01252250559628,145393687.6
18,25.0,12.5,5.01252250559628,145390472.2
18,25.0,15.0,5.01252250559628,145481393.2
18,25.0,17.5,5.01252250559628,145521536.8
18,25.0,20.0,5.01252250559628,145337648.0
18,25.0,22.5,5.01252250559628,145411512.8
19,25.0,2.5,2.3766024746000767,70977319.2
19,25.0,5.0,4.605388302356005,133663673.8
19,25.0,7.5,5.726763844490051,166372841.8
19,25.0,10.0,9.052747517824173,261777074.6
19,25.0,12.5,9.052747517824173,261940654.0
19,25.0,15.0,9.052747517824173,261750570.8
19,25.0,17.5,9.052747517824173,261807283.2
19,25.0,20.0,9.052747517824173,261849654.4
19,25.0,22.5,9.052747517824173,261652866.2
20,25.0,2.5,2.474975627847016,72769491.6
20,25.0,5.0,4.9512565322220325,4612091862.4
20,25.0,7.5,7.4887153301388025,4381665754.2
20,25.0,10.0,8.301417902112007,5117314071.8
20,25.0,12.5,11.583498615771532,5110782662.8
20,25.0,15.0,11.583498615771532,5280796093.6
20,25.0,17.5,11.583498615771532,5349593282.8
20,25.0,20.0,11.583498615771532,4725072312.8
20,25.0,22.5,11.583498615771532,5095169355.6
21,25.0,2.5,2.438184374012053,106651643.6
21,25.0,5.0,4.964039635844529,143545334.8
21,25.0,7.5,7.119689607061446,209426985.0
21,25.0,10.0,9.659859140403569,282794606.0
21,25.0,12.5,9.659859140403569,283342953.0
21,25.0,15.0,9.659859140403569,283420396.2
21,25.0,17.5,9.659859140403569,283635172.0
21,25.0,20.0,9.659859140403569,283408795.6
21,25.0,22.5,9.659859140403569,283096843.8
22,25.0,2.5,1.5612613633275032,55343952.0
22,25.0,5.0,1.5612613633275032,55437486.6
22,25.0,7.5,1.5612613633275032,55368283.8
22,25.0,10.0,1.5612613633275032,55362710.0
22,25.0,12.5,1.5612613633275032,55375462.2
22,25.0,15.0,1.5612613633275032,55337783.2
22,25.0,17.5,1.5612613633275032,55326416.8
22,25.0,20.0,1.5612613633275032,55435606.6
22,25.0,22.5,1.5612613633275032,55306317.8
