query_id,dam_size_gb,table_size_gb,migration_size_gb,migration_duration_ns
1,2.5,1.5,1.401376842521131,58551324.0
1,2.5,1.75,1.401376842521131,58594383.0
1,2.5,2.0,1.401376842521131,58545563.0
1,2.5,2.25,1.401376842521131,58566143.0
1,5.0,3.0,2.3901417972519994,99532680.0
1,5.0,3.5,3.059362323023379,125932029.0
1,5.0,4.0,3.059362323023379,125987310.0
1,5.0,4.5,4.048127277754247,167017015.0
1,7.5,4.5,4.048127277754247,167167974.0
1,7.5,5.25,4.048127277754247,167305922.0
1,7.5,6.0,4.048127277754247,167094910.0
1,7.5,6.75,4.048127277754247,167149560.0
1,10.0,6.0,4.048127277754247,167217107.0
1,10.0,7.0,4.048127277754247,167088558.0
1,10.0,8.0,4.048127277754247,167300406.0
1,10.0,9.0,4.048127277754247,167143026.0
1,12.5,7.5,4.048127277754247,167104896.0
1,12.5,8.75,4.048127277754247,167215564.0
1,12.5,10.0,4.048127277754247,167068265.0
1,12.5,11.25,4.048127277754247,167021156.0
2,2.5,1.5,0.6100042378529906,77365589.0
2,2.5,1.75,0.6100042378529906,75262389.0
2,2.5,2.0,0.6100042378529906,93144243.0
2,2.5,2.25,0.6100042378529906,57745641.0
2,5.0,3.0,0.6100042378529906,55479473.0
2,5.0,3.5,0.6100042378529906,61836781.0
2,5.0,4.0,0.6100042378529906,63349656.0
2,5.0,4.5,0.6100042378529906,73509386.0
2,7.5,4.5,0.6100042378529906,77199090.0
2,7.5,5.25,0.6100042378529906,77388988.0
2,7.5,6.0,0.6100042378529906,58674084.0
2,7.5,6.75,0.6100042378529906,59249204.0
2,10.0,6.0,0.6100042378529906,71262840.0
2,10.0,7.0,0.6100042378529906,62072970.0
2,10.0,8.0,0.6100042378529906,73203710.0
2,10.0,9.0,0.6100042378529906,61140729.0
2,12.5,7.5,0.6100042378529906,80814045.0
2,12.5,8.75,0.6100042378529906,86488809.0
2,12.5,10.0,0.6100042378529906,75998502.0
2,12.5,11.25,0.6100042378529906,75527527.0
3,2.5,1.5,1.498263655230403,62028139.0
3,2.5,1.75,1.6031989175826311,66444005.0
3,2.5,2.0,1.9323233403265476,80328449.0
3,2.5,2.25,2.1747851260006428,90443129.0
3,5.0,3.0,2.871556855738163,118657611.0
3,5.0,3.5,3.15155594330281,130308817.0
3,5.0,4.0,3.15155594330281,130235097.0
3,5.0,4.5,3.15155594330281,130111128.0
3,7.5,4.5,3.15155594330281,130354416.0
3,7.5,5.25,4.809541423805058,197796571.0
3,7.5,6.0,4.809541423805058,197827845.0
3,7.5,6.75,4.809541423805058,197655644.0
3,10.0,6.0,4.809541423805058,197780127.0
3,10.0,7.0,4.809541423805058,197771107.0
3,10.0,8.0,4.809541423805058,197779636.0
3,10.0,9.0,4.809541423805058,197902584.0
3,12.5,7.5,4.809541423805058,197929923.0
3,12.5,8.75,4.809541423805058,197805663.0
3,12.5,10.0,4.809541423805058,197885802.0
3,12.5,11.25,4.809541423805058,197814873.0
4,2.5,1.5,1.4308768529444933,59507294.0
4,2.5,1.75,1.4308768529444933,59379195.0
4,2.5,2.0,1.4308768529444933,59499914.0
4,2.5,2.25,2.1305608451366425,88583338.0
4,5.0,3.0,2.410153828561306,99813287.0
4,5.0,3.5,3.4006210919469595,141251509.0
4,5.0,4.0,3.4006210919469595,141329008.0
4,5.0,4.5,3.4006210919469595,141077961.0
4,7.5,4.5,3.4006210919469595,141501146.0
4,7.5,5.25,3.4006210919469595,140922612.0
4,7.5,6.0,3.4006210919469595,140999178.0
4,7.5,6.75,3.4006210919469595,141266719.0
4,10.0,6.0,3.4006210919469595,141526870.0
4,10.0,7.0,3.4006210919469595,141259752.0
4,10.0,8.0,3.4006210919469595,141239841.0
4,10.0,9.0,3.4006210919469595,141396890.0
4,12.5,7.5,3.4006210919469595,141225110.0
4,12.5,8.75,3.4006210919469595,141299150.0
4,12.5,10.0,3.4006210919469595,141173780.0
4,12.5,11.25,3.4006210919469595,141249079.0
5,2.5,1.5,1.3979762950912118,58007879.0
5,2.5,1.75,1.6439947606995702,67688994.0
5,2.5,2.0,1.8864565463736653,77784004.0
5,2.5,2.25,2.166049529798329,89068092.0
5,5.0,3.0,2.9767132690176368,122316555.0
5,5.0,3.5,3.4218513993546367,140295548.0
5,5.0,4.0,3.701850486919284,151957133.0
5,5.0,4.5,3.701850486919284,151871154.0
5,7.5,4.5,3.701850486919284,151846524.0
5,7.5,5.25,3.701850486919284,151909354.0
5,7.5,6.0,5.359835967421532,219337748.0
5,7.5,6.75,5.359835967421532,219286872.0
5,10.0,6.0,5.359835967421532,219344505.0
5,10.0,7.0,5.359835967421532,219388185.0
5,10.0,8.0,5.359835967421532,219308444.0
5,10.0,9.0,5.359835967421532,219375213.0
5,12.5,7.5,5.359835967421532,219342242.0
5,12.5,8.75,5.359835967421532,219350891.0
5,12.5,10.0,5.359835967421532,219312022.0
5,12.5,11.25,5.359835967421532,219227862.0
6,2.5,1.5,1.2687640422955155,53141867.0
6,2.5,1.75,1.5494282506406307,64837282.0
6,2.5,2.0,1.5494282506406307,64731003.0
6,2.5,2.25,1.5494282506406307,64775502.0
6,5.0,3.0,1.5494282506406307,64870101.0
6,5.0,3.5,3.2074137311428785,132519295.0
6,5.0,4.0,3.2074137311428785,132247668.0
6,5.0,4.5,3.2074137311428785,132450575.0
6,7.5,4.5,3.2074137311428785,132442805.0
6,7.5,5.25,3.2074137311428785,132502334.0
6,7.5,6.0,3.2074137311428785,132309185.0
6,7.5,6.75,3.2074137311428785,132430719.0
6,10.0,6.0,3.2074137311428785,132448859.0
6,10.0,7.0,3.2074137311428785,132408239.0
6,10.0,8.0,3.2074137311428785,132384779.0
6,10.0,9.0,3.2074137311428785,132448708.0
6,12.5,7.5,3.2074137311428785,132554386.0
